player_key,name,week,position,team_key,team_name,started,nfl_team,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Field Goals Missed 0-19 Yards,Field Goals Missed 20-29 Yards,Point After Attempt Made,Point After Attempt Missed,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,4th Down Stops,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.28534,Stefon Diggs,1,WR,390.l.99174.t.4,Hareem Kunt,True,Buf,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29288,Tyler Boyd,1,WR,390.l.99174.t.4,Hareem Kunt,True,Cin,10.3,0.0,0.0,0.0,1.0,3.0,0.0,11.0,8.0,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.26561,Josh Gordon,1,WR,390.l.99174.t.4,Hareem Kunt,True,Sea,14.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,73.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31005,Nick Chubb,1,RB,390.l.99174.t.4,Hareem Kunt,True,Cle,10.0,0.0,0.0,0.0,17.0,75.0,0.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30423,Austin Ekeler,1,RB,390.l.99174.t.4,Hareem Kunt,True,LAC,36.4,0.0,0.0,0.0,12.0,58.0,1.0,7.0,6.0,96.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.26686,Travis Kelce,1,TE,390.l.99174.t.4,Hareem Kunt,True,KC,10.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,88.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29274,Sterling Shepard,1,WR,390.l.99174.t.4,Hareem Kunt,True,NYG,7.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.9317,LeSean McCoy,1,RB,390.l.99174.t.4,Hareem Kunt,False,TB,9.8,0.0,0.0,0.0,10.0,81.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27789,Trey Burton,1,TE,390.l.99174.t.4,Hareem Kunt,False,Ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24035,Golden Tate,1,WR,390.l.99174.t.4,Hareem Kunt,False,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
